x,y,Elevation
519222.802971435,1507142.90403418,205.95676
519232.802971435,1507142.90403418,208.26202
519242.802971435,1507142.90403418,210.5809
519252.802971435,1507142.90403418,211.91615
519262.802971435,1507142.90403418,209.98682
519272.802971435,1507142.90403418,209.48439
519282.802971435,1507142.90403418,207.28293
519292.802971435,1507142.90403418,207.28293
519302.802971435,1507142.90403418,207.28293
519312.802971435,1507142.90403418,207.28293
518782.802971435,1507132.90403418,173.86603
518792.802971435,1507132.90403418,173.38968
518802.802971435,1507132.90403418,168.67079
518812.802971435,1507132.90403418,168.15381
518822.802971435,1507132.90403418,168.15381
518832.802971435,1507132.90403418,168.15381
518842.802971435,1507132.90403418,168.15381
518852.802971435,1507132.90403418,168.15381
518862.802971435,1507132.90403418,168.15381
518872.802971435,1507132.90403418,168.15381
518882.802971435,1507132.90403418,168.15381
518892.802971435,1507132.90403418,168.15381
518902.802971435,1507132.90403418,168.15381
518912.802971435,1507132.90403418,168.15381
518922.802971435,1507132.90403418,168.15381
518932.802971435,1507132.90403418,168.15381
518942.802971435,1507132.90403418,168.15381
518952.802971435,1507132.90403418,168.15381
518962.802971435,1507132.90403418,168.15381
518972.802971435,1507132.90403418,168.15381
518982.802971435,1507132.90403418,168.15381
518992.802971435,1507132.90403418,168.15381
519002.802971435,1507132.90403418,168.15381
519012.802971435,1507132.90403418,168.15381
519022.802971435,1507132.90403418,168.15381
519032.802971435,1507132.90403418,168.15381
519042.802971435,1507132.90403418,168.15381
519052.802971435,1507132.90403418,168.15381
519062.802971435,1507132.90403418,168.15381
519072.802971435,1507132.90403418,168.15381
519082.802971435,1507132.90403418,168.15381
519092.802971435,1507132.90403418,168.15381
519102.802971435,1507132.90403418,168.15381
519112.802971435,1507132.90403418,168.15381
519122.802971435,1507132.90403418,168.15381
519132.802971435,1507132.90403418,174.16927
519142.802971435,1507132.90403418,181.2011
519152.802971435,1507132.90403418,185.45905
519162.802971435,1507132.90403418,188.23746
519172.802971435,1507132.90403418,191.73741
519182.802971435,1507132.90403418,197.5122
519192.802971435,1507132.90403418,205.56715
519202.802971435,1507132.90403418,209.59686
519212.802971435,1507132.90403418,220.6219
519222.802971435,1507132.90403418,234.33537
519232.802971435,1507132.90403418,244.97382
519242.802971435,1507132.90403418,253.63689
519252.802971435,1507132.90403418,257.89276
519262.802971435,1507132.90403418,251.47795
